order_id,customer_id,product_id,order_date,region,quantity,price,total_amount
O00001,C1729,P0190,2024-01-09,East,1,1674.18,1674.18
O00002,C0509,P0228,2024-12-17,North,4,747.42,2989.68
O00003,C1209,P0023,2024-08-03,North,4,314.9,1259.6
O00004,C0492,P0199,2024-12-16,East,3,1630.77,4892.31
O00005,C1534,P0307,2023-10-02,South,3,1000.04,3000.12
O00006,C0394,P0439,2025-06-07,East,4,1175.51,4702.04
O00007,C1576,P0390,2023-10-14,North,2,860.87,1721.74
O00008,C1240,P0486,2024-03-06,North,4,518.18,2072.72
O00009,C0722,P0334,2024-01-08,East,1,1982.82,1982.82
O00010,C0066,P0026,2025-08-28,West,5,1030.92,5154.6
O00011,C0465,P0003,2025-02-18,West,4,1076.09,4304.36
O00012,C0172,P0223,2023-10-28,North,3,980.05,2940.15
O00013,C0002,P0356,2024-01-31,East,3,1058.09,3174.27
O00014,C1778,P0129,2023-11-07,North,2,338.67,677.34
O00015,C0411,P0394,2024-05-20,West,4,1125.17,4500.68
O00016,C0295,P0308,2024-04-23,East,1,828.34,828.34
O00017,C0545,P0137,2023-09-10,North,1,98.1,98.1
O00018,C1760,P0001,2024-09-18,North,1,593.6,593.6
O00019,C1604,P0238,2025-06-27,East,4,1334.56,5338.24
O00020,C1458,P0325,2025-05-07,South,3,1961.49,5884.47
O00021,C1575,P0365,2024-10-21,East,5,1807.97,9039.85
O00022,C0345,P0278,2024-04-12,West,4,942.91,3771.64
O00023,C1557,P0021,2025-01-07,East,1,1683.78,1683.78
O00024,C1386,P0451,2025-02-22,West,3,1570.68,4712.04
O00025,C0204,P0032,2023-12-23,North,3,906.07,2718.21
O00026,C1789,P0051,2025-06-05,North,5,65.63,328.15
O00027,C0921,P0310,2024-12-08,East,5,158.36,791.8
O00028,C0872,P0317,2024-08-30,North,5,152.53,762.65
O00029,C1871,P0072,2023-09-13,South,2,799.86,1599.72
O00030,C1750,P0381,2024-04-27,North,5,639.93,3199.65
O00031,C1717,P0081,2024-12-25,South,5,93.25,466.25
O00032,C1806,P0380,2024-04-04,South,1,321.42,321.42
O00033,C1531,P0137,2025-01-19,West,4,1046.73,4186.92
O00034,C0762,P0095,2025-01-06,South,2,1319.33,2638.66
